pageid	primary_platform	platforms
30882288	microsoft windows	microsoft windows
30904116	playstation 3	xbox 360,playstation 3
30907845	nintendo game boy	game boy
30930899	nintendo 3ds	nintendo 3ds
30949252	playstation 3	microsoft windows,playstation 3,xbox 360
30957853	playstation 2	playstation 2,xbox 360,playstation portable,android (operating system),ios
30976155	microsoft windows	windows
30983590	xbox 360	xbox 360
30985918	apple macintosh	personal computer,mac os,iphone,ipod touch,android (operating system)
30989182	playstation	playstation,playstation vita
30989945		
30991946	nintendo 3ds	nintendo 3ds,wii,playstation 3,xbox 360
30992902	playstation	playstation,playstation portable
30999409	flash game	adobe flash
31011755	nintendo game boy	game boy
31012975	playstation 3	microsoft windows,playstation 3,xbox 360
31024658	microsoft windows	microsoft windows
31029994	microsoft windows	microsoft windows
31032134	microsoft windows	microsoft windows
31032142	playstation 2	playstation 2,xbox (console)
31042094	nintendo wii	playstation 3,wii
31044432	nintendo wii	wii
31048696	apple macintosh	microsoft windows,mac os
31053723	ios game	ios
31059907	nintendo 3ds	nintendo 3ds
31061332	zx spectrum	arcade game,zx spectrum
31064835	xbox 360	xbox 360,microsoft windows
31065729	playstation 4	microsoft windows,os x,linux,playstation 3,playstation 4,xbox 360,xbox one
31067938	xbox 360	xbox 360
31070486	atari 2600	atari 2600
31076422	ios game	ios (apple),android (operating system),microsoft windows
31086601	sony psp	playstation portable
31097528	zx spectrum	arcade game,amiga,amstrad cpc,atari st,commodore 64,pc-engine,zx spectrum
31098174	ios game	ios (apple)
31104815	apple macintosh	apple macintosh
31107063	playstation 3	playstation 3,microsoft windows
31107561	playstation vita	playstation vita
31119446	microsoft windows	microsoft windows
31121900	linux game	microsoft windows,mac os x,linux
31125095	playstation 4	android (operating system),ios,kindle fire hdx,os x,microsoft windows,ouya,playstation 3,playstation 4,playstation vita,xbox 360,xbox one
31129506	nintendo wii	pc engine,virtual console
31135841	sony psp	playstation portable
31144036	playstation 3	microsoft windows,playstation 3,xbox 360
31144208	playstation 3	xbox 360,playstation 3,microsoft windows
31157153	microsoft windows	microsoft windows
31158980	zx spectrum	arcade game,japan amusement machinery manufacturers association,amiga,amstrad cpc,atari st,commodore 64,dos,nintendo entertainment system,zx spectrum
31160717	super nintendo entertainment system	super nintendo entertainment system
31167965	nintendo 3ds	wii,nintendo 3ds,windows,mac os x
31167966	nintendo 3ds	wii,nintendo 3ds,microsoft windows,os x
31180166	microsoft windows	microsoft windows
31182877	playstation 3	microsoft windows,os x,linux,xbox 360,playstation 3,android (operating system)
31183031	nintendo 3ds	nintendo 3ds,nintendo ds,symbian,ios,blackberry,playstation 3,wii,xbox 360
31189919	playstation 3	microsoft windows,playstation 3,xbox 360
31195645	ios game	ios,microsoft windows,os x,linux,android (operating system)
31195831	xbox 360	xbox 360,xbox live arcade,microsoft windows,os x,linux
31196132	playstation 3	microsoft windows,playstation 3,xbox 360
31196244	microsoft windows	microsoft windows,xbox live arcade
31199097	ms-dos	ms-dos
31202328	android mobile game	xbox live arcade,playstation network,microsoft windows,android (operating system)
31205683	playstation 3	playstation 3,xbox 360
31206331	ios game	ios,xperia play,android (operating system)
31207164	ios game	ios
31208103	nintendo wii	wiiware
31214698	nintendo ds	ios (apple),dsiware
31215581	ios game	ios (apple),macintosh
31216197	playstation 3	microsoft windows,playstation 3,xbox 360
31216246	browser game	online
31216863	microsoft windows	microsoft windows
31217800	sega mega drive/genesis	arcade game,neo geo (console),neo-geo cd,playstation 2,playstation portable,playstation network,sega mega drive,super nintendo entertainment system,wii,virtual console
31226949	playstation 3	microsoft windows,playstation 3,xbox 360,os x,onlive
31235812	linux game	windows,macintosh,linux
31246260	zx spectrum	commodore 64,amstrad cpc,zx spectrum
31246616	commodore 64	commodore 64
31251716	playstation 4	xbox 360,microsoft windows,linux,os x,playstation 4,ios
31256851	zx spectrum	zx spectrum
31260579	ios game	ios (apple)
31263253	microsoft windows	microsoft windows
31265448	playstation 3	ios,android (operating system),os x,microsoft windows,symbian os,webos,blackberry tablet os,windows phone,ps3
31270085	nintendo 3ds	nintendo ds,nintendo 3ds
31277360	playstation 3	playstation 3,xbox 360,microsoft windows,cloud computing,onlive
31283745	mobile game	wipi
31284979	playstation 4	microsoft windows,windows phone,xbox 360,ios,android (operating system),linux,os x,ouya,playstation 4
31286202	microsoft windows	windows
31287167	playstation 3	microsoft windows,playstation 3,xbox 360
31287530	microsoft windows	microsoft windows
31289342	playstation 3	microsoft windows,playstation 3,xbox 360
31290341	commodore 64	commodore 64,atari 8-bit family
31290980	facebook game	facebook platform
31291293	nintendo wii	nintendo entertainment system,virtual console
31293642	mobile game	mobile phone
31294179	xbox 360	xbox 360,xbox live arcade,windows phone,microsoft windows
31296071	playstation 3	playstation 3
31298747	microsoft windows	microsoft windows
31299023	neo geo	neo geo
31299857	nintendo ds	nintendo ds,playstation 3,wii,xbox 360
31304683	ios game	android (operating system),ios (apple),ipad,iphone,ipod touch,facebook,kindle fire,nook tablet,windows phone,windows
31306289	nintendo ds	wii,nintendo ds,microsoft windows
31307235	zx spectrum	commodore 64,zx spectrum,atari st,atari 8-bit family,amstrad cpc,amiga
31307446	zx spectrum	commodore 64,zx spectrum,atari st,amstrad cpc,amiga
31324482	zx spectrum	commodore 64,amstrad cpc,atari st,amiga,zx spectrum
31324660	nintendo 3ds	nintendo 3ds,nintendo 3ds xl,nintendo 2ds
31331201	microsoft windows	microsoft windows,os x
31334796	nintendo super famicom	super famicom
31344698	xbox 360	microsoft windows,mac os x,linux,ios (apple),android (operating system),xbox 360,playstation network,blackberry 10
31351439	nintendo 3ds	nintendo 3ds,nintendo ds,playstation 3,wii,xbox 360
31357765	facebook game	facebook platform,apple ios
31362519	nintendo entertainment system	nintendo entertainment system
31377080	ios game	facebook,android (operating system),ios (apple),ipad,iphone,ipod touch,google+,windows phone,windows
31380669	ios game	ipad
31381626	microsoft windows	microsoft windows
31384671	pc game	java platform,linux,mac os x,microsoft windows
31387103		
31390903	microsoft windows	microsoft windows
31391925	ios game	ios,android (operating system),symbian,webos,microsoft windows,os x,windows phone,blackberry 10,blackberry tablet os
31407228	nintendo ds	playstation 3,wii,nintendo ds,playstation portable
31411688	nokia n-gage	mobile phone,java me,n-gage (service)
31416316	browser game	web browser
31422175	nintendo wii	wii
31430753	ms-dos	ms-dos
31442285	sony psp	playstation portable
31443658	microsoft windows	microsoft windows,os x
31455248	zx spectrum	amiga,amstrad cpc,atari st,commodore 64,ms-dos,zx spectrum
31466499	zx spectrum	zx spectrum,commodore 64,amstrad cpc
31466592	xbox 360	xbox 360
31478902	nintendo wii	wii
31480115	playstation 3	playstation 3,xbox 360,microsoft windows
31482088	sega master system	sega master system
31482735	pc game	microsoft windows,mac os x,linux,android (operating system),ios,cloud computing,onlive
31484171	ios game	ios,android (operating system)
31486196	playstation 3	microsoft windows,playstation 3,playstation network,xbox 360,xbox live arcade
31488799	microsoft windows	microsoft windows
31489667	playstation 4	microsoft windows,playstation 3,xbox 360,playstation 4,xbox one
31495436	playstation 3	playstation 3,playstation portable,xbox 360
31496704	pc game	personal computer
31510187	linux game	microsoft windows,mac os x,linux
31510309	apple macintosh	microsoft windows,mac os
31520039	nintendo 3ds	wii,nintendo 3ds
31521005	playstation 4	linux,microsoft windows,os x,xbox one,playstation 4
31524520	playstation 3	microsoft windows,playstation 3,xbox 360
31528664	playstation 3	xbox 360,playstation 3
31537677	linux game	microsoft windows,linux
31550242	browser game	html5
31553859	nintendo 3ds	wii,nintendo 3ds
31567105	xbox 360	xbox 360,microsoft windows
31572047	ios game	browser game,ios,android (operating system)
31572337	nintendo 3ds	personal computer,mac os,ios (apple),playstation network,nintendo 3ds
31604543	super nintendo entertainment system	super nintendo entertainment system
31605199	super nintendo entertainment system snes	super nes
31624378	nintendo 3ds	microsoft windows,xbox 360,playstation 3,wii,nintendo 3ds,java me
31624503	microsoft windows	microsoft windows
31625168	ios game	microsoft windows,os x,linux,ios,android (operating system)
31632993	playstation 4	playstation 3,playstation 4,xbox 360,xbox one,microsoft windows
31645240	nintendo wii	xbox 360,playstation 3,playstation 2,playstation portable,wii,microsoft windows,ios
31656655	pc game	microsoft windows,cloud computing,onlive
31657457	microsoft windows	windows
31668953	playstation 3	playstation 3
31670783	ios game	ios (apple),android (operating system)
31678939	pc game	personal computer
31680594	xbox 360	microsoft windows,xbox 360
31694170	apple macintosh	microsoft windows,linux,macos
31705977	nintendo 3ds	microsoft windows,playstation 2,playstation 3,playstation portable,xbox 360,wii,nintendo 3ds,ios,android (operating system),windows phone 7,sony ericsson xperia play,cloud computing,onlive
31714918	playstation 3	xbox 360,xbox live arcade,playstation 3,playstation network,microsoft windows
31741502	playstation 3	playstation 3,xbox 360
31742746	mac os x	microsoft windows,macintosh
31750888	ios game	ios,os x,android (operating system),symbian,mobile phone,webos,blackberry playbook,bada
31754173	ios game	facebook platform,ipad,android (operating system),windows phone
31759888	ios game	ios (apple),android (operating system),internet browser
31763138	playstation 3	playstation 3
31765454		
31779579	nintendo entertainment system nes	super nintendo entertainment system,nintendo power (cartridge)
31781823	sony psp	playstation portable
31795249	playstation 4	microsoft windows,playstation 3,playstation 4,xbox 360,xbox one
31797686	linux game	microsoft windows,mac os x,linux
31799026	microsoft windows	microsoft windows,os x
31802241	nintendo 3ds	microsoft windows,os x,android (operating system),ios,linux,nintendo 3ds,playstation 3,playstation 4,playstation vita,wii u,windows phone,xbox 360,xbox one
31805124	apple macintosh	windows 3.x,mac os
31807496	super nintendo entertainment system	super nintendo entertainment system
31812874	playstation 3	playstation 3
31818991	nintendo ds	nintendo ds,wii,playstation 3,xbox 360
31825300	nintendo 3ds	ios,microsoft windows,nintendo 3ds,nintendo ds,os x,playstation 3,playstation 4,playstation portable,playstation vita,wii,xbox 360
31827841	microsoft windows	microsoft windows
31828265	commodore 64	commodore 64,nintendo entertainment system
31835776	ms-dos	dos,video game genre,educational game,single player,computer game,binary zoo software (page does not exist),artech studios,personal computer
31839322	nec pc-88	nintendo entertainment system,msx,nec pc-8801,nec pc-9801,fm-7,x1 (computer)
31849910	ios game	microsoft windows,mac os x,ios (apple)
31852479	sega mega drive/genesis	arcade game,arcade game,turbografx-16,x68000,master system,sega genesis,super nintendo entertainment system,playstation (console),sega saturn,playstation 2,xbox (console),playstation portable
31853726	sega mega drive/genesis	super nintendo entertainment system,sega genesis
31854039	playstation 3	playstation 3,playstation vita
31855201	super nintendo entertainment system	super nintendo entertainment system
31856424		
31856531	apple macintosh	microsoft windows,mac os,ios,android (operating system),linux
31856647	playstation 4	microsoft windows,playstation 3,playstation 4,xbox 360,xbox one
31860020	microsoft windows	microsoft windows
31865264	playstation 4	android (operating system),arcade game,ios,linux,microsoft windows,os x,playstation 3,playstation 4,playstation vita,xbox 360
31865283	microsoft windows	windows
31865847	super nintendo entertainment system	super nintendo entertainment system
31871959	nintendo entertainment system	nintendo entertainment system
31874326	arcade game	arcade game
31875685	nintendo entertainment system	nintendo entertainment system
31876859	ios game	browser game,ipad,blackberry playbook
31880694	playstation	playstation,playstation vita,windows
31885287	playstation	playstation (console)
31887975	arcade game	arcade game,super nintendo entertainment system
31893570	playstation 3	playstation 3,xbox 360
31894782	nintendo 3ds	nintendo 3ds
31898346	nintendo 3ds	playstation 3,xbox 360,nintendo ds,wii,nintendo 3ds,playstation vita
31902346	cross-platform	cross-platform
31903984	ios game	xbox live indie games,ios (apple),android (operating system),windows phone
31905429		
31911018	super nintendo entertainment system	super nintendo entertainment system
31918654	ios game	microsoft windows,os x,linux,ios,android (operating system)
31919335	super nintendo entertainment system	super nintendo entertainment system
31919748	nintendo 3ds	microsoft windows,playstation 2,playstation 3,playstation portable,playstation vita,xbox 360,wii,nintendo 3ds,ios,android (operating system),java me,os x,xperia play
31925119	playstation	super nintendo entertainment system,playstation
31925496	commodore 64	commodore 64
31928470	super nintendo entertainment system	super nintendo entertainment system
31932938	super nintendo entertainment system	super nintendo entertainment system
31942274	nintendo 3ds	nintendo 3ds
31942559	super nintendo entertainment system snes	super nes
31943734	super nintendo entertainment system snes	super nes
31943854	super nintendo entertainment system snes	super nes
31944017	nintendo wii	playstation 3,wii,xbox 360
